user_id,song_id,rating
1,118,3.0
1,131,3.0
1,71,4.0
1,103,3.0
1,53,3.0
1,145,2.0
1,12,3.0
1,150,1.0
1,148,3.0
1,192,2.0
1,109,1.0
1,123,2.0
1,151,4.0
1,91,3.0
1,33,2.0
1,40,4.0
1,182,4.0
1,24,4.0
1,197,4.0
1,2,3.0
1,154,3.0
1,60,2.0
2,143,3.0
2,171,2.0
2,79,4.0
2,124,3.0
2,92,3.0
2,191,4.0
2,146,3.0
2,161,3.0
2,93,3.0
2,97,3.0
2,26,5.0
2,174,2.0
2,180,2.0
2,24,3.0
2,150,5.0
2,37,5.0
2,66,2.0
3,104,5.0
3,42,3.0
3,88,2.0
3,80,4.0
3,31,3.0
3,84,4.0
3,169,4.0
3,131,5.0
3,144,5.0
3,167,2.0
3,105,3.0
3,124,2.0
3,182,2.0
3,78,2.0
3,76,2.0
3,140,5.0
3,52,3.0
3,13,3.0
3,72,4.0
4,41,4.0
4,34,3.0
4,24,2.0
4,166,3.0
4,89,2.0
4,130,5.0
4,72,5.0
4,46,4.0
4,5,4.0
4,27,5.0
4,43,3.0
4,151,4.0
4,196,4.0
4,37,2.0
4,152,3.0
4,47,4.0
4,38,3.0
4,197,4.0
4,165,4.0
5,33,4.0
5,148,2.0
5,144,1.0
5,67,4.0
5,70,4.0
5,182,5.0
5,96,3.0
5,9,2.0
5,63,5.0
5,88,4.0
5,1,3.0
5,137,2.0
5,175,2.0
5,76,5.0
5,97,4.0
5,157,1.0
5,98,3.0
5,91,2.0
5,197,3.0
6,7,2.0
6,5,4.0
6,48,3.0
6,113,2.0
6,154,4.0
6,79,3.0
6,135,3.0
6,63,4.0
6,149,4.0
6,146,2.0
6,139,5.0
6,46,2.0
6,181,4.0
6,102,2.0
6,10,1.0
6,3,4.0
6,70,2.0
6,124,3.0
6,197,2.0
6,29,4.0
6,104,3.0
6,189,3.0
6,92,4.0
7,91,3.0
7,21,3.0
7,186,3.0
7,189,4.0
7,67,1.0
7,12,2.0
7,88,2.0
7,136,4.0
7,153,2.0
7,77,3.0
7,132,4.0
7,117,2.0
7,87,2.0
7,42,5.0
7,1,5.0
7,139,2.0
7,165,2.0
7,33,3.0
7,133,2.0
7,106,4.0
7,92,3.0
7,25,2.0
7,69,4.0
8,67,2.0
8,156,4.0
8,98,3.0
8,123,3.0
8,165,3.0
8,162,2.0
8,23,2.0
8,15,2.0
8,176,2.0
8,18,3.0
8,140,4.0
8,6,4.0
8,115,4.0
8,108,4.0
8,52,5.0
9,50,5.0
9,178,1.0
9,168,4.0
9,67,2.0
9,119,2.0
9,155,3.0
9,160,2.0
9,183,2.0
9,2,3.0
9,1,3.0
9,114,2.0
9,18,3.0
9,21,3.0
9,195,1.0
9,134,3.0
9,93,4.0
9,63,4.0
9,124,3.0
9,10,3.0
9,179,4.0
9,36,3.0
9,131,2.0
9,185,2.0
9,71,2.0
9,156,2.0
9,161,2.0
9,146,3.0
10,139,5.0
10,48,1.0
10,138,4.0
10,157,3.0
10,17,2.0
10,183,3.0
10,114,4.0
10,21,2.0
10,102,4.0
10,54,2.0
10,195,3.0
10,142,4.0
10,154,2.0
10,14,2.0
10,129,2.0
10,163,4.0
10,7,1.0
10,104,2.0
10,150,4.0
10,82,5.0
10,88,3.0
10,61,2.0
10,121,5.0
10,81,4.0
10,52,3.0
10,31,2.0
11,86,3.0
11,198,3.0
11,196,3.0
11,54,4.0
11,139,3.0
11,158,2.0
11,76,2.0
11,82,3.0
11,84,5.0
11,115,3.0
11,33,3.0
11,27,3.0
11,102,4.0
11,183,2.0
11,44,5.0
11,170,5.0
11,141,5.0
11,85,4.0
11,46,3.0
11,172,3.0
11,17,2.0
11,131,4.0
12,111,3.0
12,5,2.0
12,77,2.0
12,139,4.0
12,53,4.0
12,198,3.0
12,169,4.0
12,195,3.0
12,119,3.0
12,108,3.0
12,83,2.0
12,117,1.0
12,52,3.0
12,165,1.0
12,45,3.0
12,41,2.0
12,199,2.0
12,120,2.0
12,173,4.0
13,5,3.0
13,131,5.0
13,100,3.0
13,91,4.0
13,93,5.0
13,30,2.0
13,37,3.0
13,181,3.0
13,54,2.0
13,167,3.0
13,139,2.0
13,150,3.0
13,77,3.0
13,143,3.0
13,121,3.0
13,163,3.0
13,39,3.0
13,192,1.0
13,98,2.0
13,11,3.0
13,76,3.0
14,22,3.0
14,66,4.0
14,184,5.0
14,58,2.0
14,116,5.0
14,16,5.0
14,64,3.0
14,55,3.0
14,28,2.0
14,49,3.0
14,83,3.0
14,68,3.0
14,47,3.0
14,110,3.0
14,3,4.0
14,170,4.0
14,5,5.0
14,41,2.0
15,3,4.0
15,187,3.0
15,114,1.0
15,115,5.0
15,34,3.0
15,89,2.0
15,86,2.0
15,148,3.0
15,139,3.0
15,164,3.0
15,158,3.0
15,118,3.0
15,47,1.0
15,113,2.0
15,188,1.0
15,154,3.0
15,185,3.0
15,166,3.0
15,122,2.0
15,8,3.0
16,33,2.0
16,192,3.0
16,67,3.0
16,85,4.0
16,43,2.0
16,83,4.0
16,140,3.0
16,11,3.0
16,80,3.0
16,94,3.0
16,150,1.0
16,106,5.0
16,151,3.0
17,152,1.0
17,12,4.0
17,157,3.0
17,121,3.0
17,76,2.0
17,181,2.0
17,141,4.0
17,17,4.0
17,128,3.0
17,30,5.0
17,86,2.0
17,40,3.0
17,161,4.0
17,169,3.0
17,99,3.0
17,56,3.0
17,154,2.0
17,23,5.0
17,179,2.0
18,113,2.0
18,142,3.0
18,164,4.0
18,23,2.0
18,174,1.0
18,177,1.0
18,130,5.0
18,61,4.0
18,186,3.0
18,96,3.0
18,98,5.0
18,63,3.0
18,40,3.0
18,74,2.0
18,97,3.0
18,8,3.0
18,57,4.0
18,131,3.0
18,34,5.0
19,63,2.0
19,84,3.0
19,161,3.0
19,189,1.0
19,82,3.0
19,177,3.0
19,112,4.0
19,54,4.0
19,105,5.0
19,179,3.0
19,7,3.0
19,165,1.0
19,157,3.0
19,127,5.0
19,190,3.0
19,61,3.0
19,174,3.0
19,145,2.0
20,197,3.0
20,173,2.0
20,87,3.0
20,166,4.0
20,141,4.0
20,96,2.0
20,136,2.0
20,65,3.0
20,56,2.0
20,97,1.0
20,10,2.0
20,67,2.0
20,172,3.0
20,83,3.0
20,169,5.0
20,194,5.0
21,121,5.0
21,174,2.0
21,173,3.0
21,36,4.0
21,21,3.0
21,125,4.0
21,195,1.0
21,77,5.0
21,177,2.0
21,126,3.0
21,4,3.0
21,51,3.0
21,144,3.0
22,176,1.0
22,187,3.0
22,1,3.0
22,13,2.0
22,57,2.0
22,147,3.0
22,68,3.0
22,26,2.0
22,21,2.0
22,170,3.0
22,87,4.0
22,45,3.0
22,138,3.0
22,24,3.0
22,84,3.0
22,110,4.0
22,139,3.0
22,95,4.0
22,180,4.0
22,168,3.0
23,152,3.0
23,54,2.0
23,142,3.0
23,106,4.0
23,21,4.0
23,29,5.0
23,121,3.0
23,47,4.0
23,128,5.0
23,146,5.0
23,132,1.0
23,138,2.0
23,69,3.0
23,108,3.0
24,44,3.0
24,18,3.0
24,162,4.0
24,24,4.0
24,144,3.0
24,167,4.0
24,19,2.0
24,96,5.0
24,46,4.0
24,103,4.0
24,27,3.0
24,176,3.0
24,143,2.0
24,40,4.0
24,177,2.0
24,192,5.0
24,109,1.0
25,93,4.0
25,55,1.0
25,37,2.0
25,34,2.0
25,36,4.0
25,79,3.0
25,87,2.0
25,64,3.0
25,165,2.0
25,111,3.0
25,162,2.0
25,167,5.0
25,120,3.0
25,101,5.0
25,109,2.0
25,6,3.0
25,32,4.0
25,116,3.0
25,161,2.0
25,21,5.0
25,71,3.0
25,98,5.0
25,100,2.0
26,5,4.0
26,184,2.0
26,158,3.0
26,114,2.0
26,163,3.0
26,75,3.0
